property_name,apartment_code,eb_meter_number,reading_date,start_reading,current_reading,units_consumed,eb_amount,is_danger
Vista Heights,B22,09217003767,2026-06-28,15139.1,15867.6,847,5263.5,false
Vista Heights,B13,09217003764,2026-06-28,44650.3,46222.9,1827,16421.85,false
Vista Heights,B24,09217003769,2026-06-28,42892.6,44760.6,2169,20371.95,true
Vista Heights,A11,09217003746,2026-06-28,3304.4,4349.1,1214,9341.7,false
Vista Heights,D11,09217003794,2026-06-28,64247.9,65975.2,2020,18651,false
Vista Heights,C41,09217003790,2026-06-28,24132.4,26523.4,2777,27394.35,true
Vista Heights,C31,09217003786,2026-06-28,39520.4,40766,1447,12032.85,false
Vista Heights,C43,09217003792,2026-06-28,30286.2,32207.7,2232,21099.6,true
Vista Heights,A44,09217003761,2026-06-28,53828.4,56040.2,2569,24991.95,true
Vista Heights,C24,09217003785,2026-06-28,26451.3,28054.9,1863,16837.65,false
Vista Heights,A41,09217003758,2026-06-28,44027.7,14892.9,0,0,false
Vista Heights,C12,09217003779,2026-06-28,92210.4,31827,0,0,false
Vista Heights,B31,09217003770,2026-06-28,29716.8,30026.8,360,1222,false
Vista Heights,D15,0,2026-06-28,0,11478,11478,127890.9,true
Vista Heights,B11,09217003762,2026-06-28,45491.7,47204.1,1988,18281.4,false
Vista Heights,B34,09217003773,2026-06-28,35963.4,37399.3,1668,14585.4,false
Vista Heights,B12,09217003763,2026-06-28,53187.4,53993.2,936,6198,false
Vista Heights,B14,09217003765,2026-06-28,29510.6,30463.9,1107,8105.85,false
Vista Heights,B32,09217003771,2026-06-28,47241.1,48856.4,1875,16976.25,false
Vista Heights,B33,09217003772,2026-06-28,45363,46803.2,1672,14631.6,false
Vista Heights,C42,09217003791,2026-06-28,36078.2,37707,1892,17172.6,false
Vista Heights,C44,09217003793,2026-06-28,25478.9,27174.2,1968,18050.4,false
Vista Heights,B41,09217003774,2026-06-28,64424.9,66651.7,2586,25188.3,true
Vista Heights,B42,09217003775,2026-06-28,55336.4,57408.8,2406,23109.3,true
Vista Heights,B43,09217003776,2026-06-28,60653.7,62094.6,1673,14643.15,false
Vista Heights,C21,09217003782,2026-06-28,36662.9,37994.2,1546,13176.3,false
Vista Heights,C34,09217003789,2026-06-28,34270.6,35283.2,1176,8902.8,false
Vista Heights,A23,09217003752,2026-06-28,26923.2,28617.2,1967,18038.85,false
Vista Heights,A12,09217003747,2026-06-28,3209.2,4314.3,1283,10138.65,false
Vista Heights,D12,09217003795,2026-06-28,18752.4,19664.6,1059,7551.45,false
Vista Heights,C11,09217003778,2026-06-28,38798.8,40127.7,1543,13141.65,false
Vista Heights,B44,09217003777,2026-06-28,56031.4,57957.6,2237,21157.35,true
Vista Heights,D41,09217003803,2026-06-28,47790.9,49337.6,1809,16213.95,false
Vista Heights,A24,09217003753,2026-06-28,31061.2,32858.9,2088,19436.4,true
Vista Heights,D21,09217003797,2026-06-28,28578,30143.5,1831,16468.05,false
