id,organization_id,payment_date,payment_mode,amount_paid,created_at,receipt_number,bank_account_id,reference_number,tenant_allotment_id,tenant_id,receipt_type,base_amount,processing_fee,is_deleted,is_locked,locked_by
bea2db43-dadc-46be-a830-01393c8c2646,00000000-0000-0000-0000-000000000001,2026-06-30,upi,16300.00,2026-07-14 07:39:12.486311+00,VISTA/26-27/06/R00407,e4b192b6-9da9-485c-b5be-26f3de3bea71,654789916238,cae46a0c-8545-4ee9-ae5e-3f94bfa02442,8334eb99-0bc0-3c80-9ff8-83bea3d7b5ef,payment,0,0,false,false,null
f40a74f6-59ea-4ec9-b3a2-17b81c0f6253,00000000-0000-0000-0000-000000000001,2026-07-07,UPI,16070.00,2026-07-14 07:36:19.609525+00,VISTA/26-27/07/00079,e4b192b6-9da9-485c-b5be-26f3de3bea71,655460604654,6edb4981-c302-4992-b7a8-e24912892b61,82be44de-b1d6-4e48-e6bb-33ec98b83c7d,payment,0,0,false,false,null
ca137d8c-cf21-4534-ae89-88992a46ed5c,00000000-0000-0000-0000-000000000001,2026-07-12,UPI,21720.00,2026-07-14 07:35:29.348499+00,VISTA/26-27/07/00078,e4b192b6-9da9-485c-b5be-26f3de3bea71,126166278060,deef0c83-4c8c-46e7-bbae-139905f81a3c,080eae03-9f65-4515-aec2-8924472923dd,payment,0,0,false,false,null
c94ab01d-c5ab-4d16-b641-4f793826cf5f,00000000-0000-0000-0000-000000000001,2026-07-09,UPI,17360.00,2026-07-14 07:35:02.271321+00,VISTA/26-27/07/00077,e4b192b6-9da9-485c-b5be-26f3de3bea71,619033095396,3aabe842-7390-4208-9bde-936af6f8b658,73715344-908a-b7fa-00cc-34358ffb16f0,payment,0,0,false,false,null
b2cad534-28d3-4c1b-b8a1-ec0ce1c85b12,00000000-0000-0000-0000-000000000001,2026-07-14,UPI,5372.00,2026-07-14 07:34:18.236999+00,VISTA/26-27/07/00076,e4b192b6-9da9-485c-b5be-26f3de3bea71,619593633809,be99f7a0-c9f6-43b6-9cc5-04577043e0bb,3b27dc97-dafa-0480-7b61-5549a3ea7eee,payment,0,0,false,false,null
70d669f3-0d2d-4149-83ff-98c4d2158923,00000000-0000-0000-0000-000000000001,2026-07-13,UPI,14686.00,2026-07-14 07:33:40.058329+00,VISTA/26-27/07/00075,e4b192b6-9da9-485c-b5be-26f3de3bea71,619404179460,17bf7a07-4e73-4ce5-8aa7-b66cd8363946,1604768e-85d5-4c44-882a-b748eddc1f37,payment,0,0,false,false,null
d414d9e2-029c-4f27-9583-e4c3dbc89e91,00000000-0000-0000-0000-000000000001,2026-07-13,upi,16986.00,2026-07-14 07:32:59.415058+00,VISTA/26-27/07/R00184,e4b192b6-9da9-485c-b5be-26f3de3bea71,"UPI-652868000000154382747304006500-ARINDRAJIT.KUNDU-3@OKICICI-656006466668-UPI
",948c83b1-ecc1-440f-9997-479b290ef8a0,e6dde6a9-4da9-d1a2-802a-faf5db207e8e,payment,0,0,false,false,null
e0d27328-217f-493e-8a7d-3a3c6dc47f2a,00000000-0000-0000-0000-000000000001,2026-07-14,upi,30166.00,2026-07-14 05:56:05.954578+00,VISTA/26-27/07/00074,e4b192b6-9da9-485c-b5be-26f3de3bea71,126262830818,9494194d-43c9-47ad-8402-0c22cde7b00f,961c950e-debe-4dd2-8e5f-08bf92bda977,onboarding,30166,0,false,false,null
f72b4d80-0e41-40d8-bb0b-7335e44c42fd,00000000-0000-0000-0000-000000000001,2026-07-03,UPI,15910.00,2026-07-13 07:20:44.078777+00,VISTA/26-27/07/00073,e4b192b6-9da9-485c-b5be-26f3de3bea71,125719878148,daa4363b-15ef-406b-adb8-5451eb652e2d,1fc0c3bb-f35c-8d5d-a4fa-a9c1723cd8ab,payment,0,0,false,false,null
77de339a-5975-401b-8980-6ec75c448ef7,00000000-0000-0000-0000-000000000001,2026-07-13,UPI,19500.00,2026-07-13 07:18:52.629309+00,VISTA/26-27/07/00072,e4b192b6-9da9-485c-b5be-26f3de3bea71,618695164517,f70dca28-1fc9-495a-aa3b-8966f09e7f57,71a9340d-9832-4609-a110-d9b5aaffc020,payment,0,0,false,false,null
b69f85a6-a04a-41ca-8cf1-7caccd54799c,00000000-0000-0000-0000-000000000001,2026-07-13,UPI,100.00,2026-07-13 07:18:47.442165+00,VISTA/26-27/07/00071,e4b192b6-9da9-485c-b5be-26f3de3bea71,618695168344,f70dca28-1fc9-495a-aa3b-8966f09e7f57,71a9340d-9832-4609-a110-d9b5aaffc020,payment,0,0,false,false,null
99c039d7-48c3-4118-9f71-e1ccb69d6ef9,00000000-0000-0000-0000-000000000001,2026-07-13,upi,30637.00,2026-07-13 06:19:49.508071+00,VISTA/26-27/07/00070,e4b192b6-9da9-485c-b5be-26f3de3bea71,656016528795,2c97d0a2-8c5a-49ab-a12c-e9aeaa347808,71492154-2bd6-41d1-b8b8-3acec9cedd1f,onboarding,30637,0,false,false,null
31c7e081-99e0-454e-967a-4844ba90d35e,00000000-0000-0000-0000-000000000001,2026-07-07,upi,16743.00,2026-07-13 05:59:14.331302+00,VISTA/26-27/07/R00178,e4b192b6-9da9-485c-b5be-26f3de3bea71,655484908014,f0913317-e6dc-4581-b4bc-db324957bb05,06061874-ce68-4008-82f6-50ace2ba4bf4,payment,0,0,false,false,null
db63bc0a-3b38-40ca-b48c-bbe644f47d5a,00000000-0000-0000-0000-000000000001,2026-07-07,upi,16593.00,2026-07-13 05:52:39.562038+00,VISTA/26-27/07/R00177,e4b192b6-9da9-485c-b5be-26f3de3bea71,"UPI-026001100039063-MOAYURVEDAM-2@OKAXIS-618861014358-UPI
",d08cab43-6304-4be3-8531-9f4066c2c461,07734943-434c-4c8b-b1fa-49d7c4e8a7fe,payment,0,0,false,false,null
fbc34ecb-95ba-4392-91da-796e23493e8a,00000000-0000-0000-0000-000000000001,2026-07-11,upi,13500.00,2026-07-13 05:12:50.394241+00,VISTA/26-27/07/R00175,e4b192b6-9da9-485c-b5be-26f3de3bea71,"UPI-1626155000118210-SHERIFF.SHAFANA@OKHDFCBANK-126111720145-UPI
",4eff7b9c-84b9-48f9-b546-e0556106f1e8,5eb9cf08-d888-4c7c-b6da-0b773bb39bba,payment,0,0,false,false,null
c9512d03-2a8d-433c-a55d-cc8b77c22fc4,00000000-0000-0000-0000-000000000001,2026-07-11,UPI,30187.00,2026-07-11 08:08:00.15742+00,VISTA/26-27/07/00069,e4b192b6-9da9-485c-b5be-26f3de3bea71,198602180386,53bd63b6-67b1-4de6-94a4-66b940e4e20a,c511ac63-cb7e-1453-92d5-ea4ffba1c360,payment,0,0,false,false,null
1ceadfe7-34c7-4822-90f6-24ab70a24677,00000000-0000-0000-0000-000000000001,2026-07-10,UPI,11866.00,2026-07-11 06:26:14.287728+00,VISTA/26-27/07/00068,e4b192b6-9da9-485c-b5be-26f3de3bea71,126078581380,be99f7a0-c9f6-43b6-9cc5-04577043e0bb,3b27dc97-dafa-0480-7b61-5549a3ea7eee,payment,0,0,false,false,null
