iter	RMSE
0	10.00254535
1	9.814776305
2	9.594738212
3	9.406209198
4	9.218606814
5	9.054092671
6	8.844921807
7	8.67426793
8	8.517769624
9	8.281810147
10	8.087901495
11	7.951925961
12	7.795394083
13	7.665637396
14	7.509437511
15	7.377299496
16	7.24485287
17	7.120803106
18	6.980309437
19	6.842379804
20	6.728084664
21	6.57340628
22	6.458682631
23	6.367100391
24	6.226867583
25	6.069013114
26	5.955899803
27	5.839002832
28	5.737041581
29	5.635972362
30	5.531805153
31	5.426027706
32	5.340721988
33	5.24118084
34	5.133531948
35	5.034809298
36	4.960681918
37	4.88570198
38	4.801789943
39	4.717780803
40	4.657802095
41	4.553439296
42	4.476325644
43	4.412655044
44	4.31844822
45	4.241315308
46	4.165546981
47	4.091608417
48	4.011406727
49	3.934878941
50	3.877191421
51	3.815125958
52	3.761369135
53	3.703326142
54	3.632826781
55	3.566699175
56	3.51137774
57	3.43644596
58	3.377537572
59	3.315482416
60	3.271291724
61	3.226836069
62	3.159859328
63	3.116550856
64	3.065494497
65	3.001011174
66	2.939761632
67	2.884113044
68	2.837412758
69	2.793208632
70	2.744419362
71	2.702870875
72	2.666486306
73	2.612963541
74	2.57302578
75	2.528786874
76	2.478368382
77	2.44163325
78	2.394440995
79	2.356292386
80	2.326216533
81	2.288885453
82	2.243703938
83	2.216890963
84	2.182540887
85	2.143439263
86	2.101162456
87	2.067041195
88	2.039976736
89	2.010028292
90	1.977143846
91	1.949684941
92	1.919338354
93	1.888363178
94	1.85314716
95	1.815177363
96	1.785619757
97	1.757193403
98	1.732402799
99	1.715923949
100	1.689968135
101	1.661338088
102	1.642896169
103	1.617164003
104	1.589908603
105	1.568659122
106	1.547214103
107	1.515887301
108	1.492552739
109	1.46797826
110	1.442476154
111	1.4164757
112	1.401931545
113	1.382675862
114	1.368003957
115	1.353059622
116	1.331591927
117	1.308504161
118	1.292135555
119	1.277198969
120	1.256415927
121	1.242991724
122	1.224475633
123	1.211369957
124	1.191744327
125	1.178713602
126	1.159732648
127	1.143862917
128	1.134410096
129	1.122865633
130	1.108519748
131	1.093372477
132	1.082320105
133	1.065715683
134	1.052915692
135	1.042356757
136	1.023943237
137	1.009953466
138	0.9949164971
139	0.9777498981
140	0.9616672853
141	0.9476535586
142	0.9373448327
143	0.9250167499
144	0.9100237891
145	0.8987159009
146	0.8832614279
147	0.8698930945
148	0.8561424052
149	0.843415498
150	0.8303169565
151	0.8175419852
152	0.8063286761
153	0.7940963561
154	0.7867765874
155	0.7754108224
156	0.76932978
157	0.7583262367
158	0.7470394539
159	0.7364905047
160	0.7256578806
161	0.7156166403
162	0.7058162688
163	0.6957421087
164	0.6864105118
165	0.6773013595
166	0.671409927
167	0.6656199321
168	0.6564916059
169	0.6508940842
170	0.6443488904
171	0.6379490113
172	0.6326242245
173	0.6264520579
174	0.6216237319
175	0.6156475502
176	0.6107691641
177	0.6033637555
178	0.5970616457
179	0.5925456772
180	0.58279499
181	0.5770829429
182	0.5676333275
183	0.5583990303
184	0.5529746806
185	0.544024915
186	0.5352788608
187	0.5267316136
188	0.5183784153
189	0.5102146491
190	0.5022358335
191	0.4944376181
192	0.4868157781
193	0.4783777762
194	0.4710429346
195	0.4638736506
196	0.4558799046
197	0.448980314
198	0.4422361833
199	0.4346612192
200	0.4297158908
201	0.4223920278
202	0.4160914762
203	0.4113756165
204	0.4042588722
205	0.4000294757
206	0.3959502954
207	0.3914826534
208	0.3875454345
209	0.3818201946
210	0.3753130752
211	0.3711076563
212	0.3669742487
213	0.3629117146
214	0.3567302686
215	0.351525984
216	0.3476519859
217	0.3416479351
218	0.3379001226
219	0.3333638085
220	0.3300547472
221	0.3268133204
222	0.3221012683
223	0.3195137535
224	0.3158574613
225	0.3128519987
226	0.3082322068
227	0.3029927782
228	0.300582515
229	0.2973010144
230	0.2939274894
231	0.2896203193
232	0.2847290687
233	0.2824788701
234	0.2793987996
235	0.2766183751
236	0.2725950576
237	0.2698959755
238	0.2672454988
239	0.2628699588
240	0.2599246863
241	0.2573791908
242	0.2553769763
243	0.2516931813
244	0.2488883624
245	0.2448537451
246	0.240647405
247	0.2382904024
248	0.2344516691
249	0.2318467788
250	0.2285661792
251	0.2267465372
252	0.2232563341
253	0.21995873
254	0.2182236867
255	0.2146007641
256	0.2115849948
257	0.2089622198
258	0.2055205756
259	0.2028602929
260	0.2004340811
261	0.197500335
262	0.1954499196
263	0.1922484666
264	0.1897825509
265	0.1878215979
266	0.1846860404
267	0.181717941
268	0.179049809
269	0.176441134
270	0.1741918568
271	0.1720566192
272	0.1692137804
273	0.1667346859
274	0.1639822079
275	0.1620707594
276	0.1601951509
277	0.1578572931
278	0.1566393467
279	0.1550325833
280	0.1538461375
281	0.1522576404
282	0.1507040492
283	0.1495655831
284	0.1473115503
285	0.1449007776
286	0.1425498488
287	0.1405002846
288	0.1391260614
289	0.1377759759
290	0.1352189138
291	0.1335424502
292	0.1321828245
293	0.1309116575
294	0.1284989586
295	0.1264374566
296	0.1252291025
297	0.1240419163
298	0.1227755323
299	0.1216191303
