iter	Passed	Remaining
0	1	476
1	2	363
2	3	335
3	4	326
4	6	366
5	6	328
6	7	325
7	8	323
8	14	472
9	16	481
10	17	463
11	18	438
12	19	438
13	21	435
14	23	446
15	23	423
16	29	489
17	30	479
18	31	468
19	32	457
20	33	446
21	34	435
22	35	426
23	36	419
24	37	412
25	38	405
26	39	398
27	43	421
28	44	417
29	45	411
30	46	404
31	47	396
32	48	389
33	49	384
34	50	378
35	51	374
36	51	368
37	52	363
38	53	358
39	54	353
40	55	348
41	59	365
42	61	365
43	62	362
44	63	358
45	64	354
46	64	349
47	66	346
48	67	345
49	68	343
50	69	341
51	75	361
52	76	358
53	78	355
54	79	352
55	80	348
56	80	344
57	81	341
58	82	338
59	83	335
60	85	333
61	90	348
62	91	345
63	92	342
64	93	338
65	94	336
66	95	333
67	96	329
68	97	326
69	98	323
70	99	320
71	100	316
72	104	323
73	105	321
74	106	318
75	107	315
76	107	312
77	108	309
78	109	306
79	110	303
80	111	300
81	111	297
82	112	294
83	113	291
84	114	288
85	114	285
86	118	289
87	119	288
88	120	285
89	121	282
90	122	280
91	123	278
92	123	275
93	124	272
94	125	270
95	126	267
96	126	265
97	127	262
98	128	260
99	128	257
100	129	255
101	133	258
102	134	257
103	135	254
104	136	252
105	136	250
106	137	247
107	138	245
108	138	243
109	139	240
110	140	238
111	140	236
112	141	234
113	142	232
114	143	230
115	143	228
116	144	226
117	147	228
118	148	226
119	149	224
120	151	223
121	152	221
122	153	220
123	153	218
124	154	216
125	155	214
126	156	212
127	157	211
128	157	209
129	158	207
130	159	205
131	163	207
132	164	206
133	165	204
134	166	203
135	167	201
136	167	199
137	168	198
138	169	196
139	170	194
140	170	192
141	171	191
142	172	189
143	173	187
144	173	185
145	178	188
146	180	187
147	180	185
148	181	184
149	182	182
150	183	180
151	184	179
152	185	177
153	185	176
154	186	174
155	187	173
156	188	171
157	188	169
158	192	170
159	193	169
160	194	168
161	195	166
162	196	165
163	197	164
164	198	162
165	200	161
166	201	160
167	202	158
168	203	157
169	204	156
170	206	155
171	206	154
172	207	152
173	208	151
174	209	149
175	210	148
176	211	147
177	212	145
178	213	144
179	214	143
180	215	141
181	219	142
182	221	141
183	222	140
184	223	138
185	223	137
186	224	135
187	225	134
188	226	132
189	226	131
190	227	129
191	228	128
192	229	126
193	229	125
194	230	124
195	233	123
196	234	122
197	235	121
198	236	120
199	238	119
200	239	117
201	240	116
202	240	115
203	241	113
204	242	112
205	243	110
206	243	109
207	244	108
208	245	106
209	248	106
210	249	105
211	251	104
212	252	102
213	253	101
214	254	100
215	255	99
216	255	97
217	256	96
218	257	95
219	258	93
220	259	92
221	259	91
222	263	91
223	264	89
224	266	88
225	266	87
226	267	86
227	268	84
228	269	83
229	270	82
230	270	80
231	271	79
232	272	78
233	272	76
234	273	75
235	274	74
236	275	73
237	278	72
238	280	71
239	281	70
240	281	68
241	282	67
242	283	66
243	284	65
244	284	63
245	285	62
246	286	61
247	287	60
248	287	58
249	288	57
250	289	56
251	290	55
252	293	54
253	294	53
254	295	52
255	296	50
256	297	49
257	297	48
258	298	47
259	299	46
260	300	44
261	300	43
262	301	42
263	302	41
264	303	40
265	303	38
266	304	37
267	308	36
268	309	35
269	310	34
270	311	33
271	312	32
272	312	30
273	313	29
274	314	28
275	315	27
276	315	26
277	316	25
278	317	23
279	318	22
280	318	21
281	319	20
282	323	19
283	324	18
284	325	17
285	325	15
286	326	14
287	327	13
288	328	12
289	328	11
290	329	10
291	330	9
292	331	7
293	331	6
294	332	5
295	333	4
296	334	3
297	336	2
298	338	1
299	339	0
