billing_period,actual,revenue_only,multivariate
2025-08,3096351.0,3016514.6821899754,2949431.5607760972
2025-09,3249240.0,2907420.1853846856,3061125.8398073283
2025-10,3106707.0,3131891.635755566,3062053.1404893557
2025-11,2930340.0,3042860.7411811333,3009884.613997363
2025-12,2711866.0,2880193.1891958737,2866187.498179074
2026-01,2580927.0,2919151.7574431733,2928578.7618603436
2026-02,2742922.0,2749655.3923630244,2782704.002350236
2026-03,2865242.0,2911626.1349746254,2827861.7491182573
2026-04,2942092.0,2959951.9343128987,2866591.4804865434
2026-05,3209053.0,3021182.894785864,2992821.9093720037
2026-06,3317353.0,3348105.4729709113,3293454.9711779663
2026-07,2967787.0,3307980.921811723,3267346.1717438726
