,0
num__units_consumed,4019.430923169631
num__apt_avg_units,4019.430923169631
num__unit_cost,1027.942293898278
cat__apartment_code_B22,1000.0321309182223
cat__apartment_code_B12,917.9184035658595
cat__apartment_code_A41,905.9723872885688
cat__apartment_code_C12,905.9723872885688
cat__apartment_code_B14,681.0466893422636
cat__apartment_code_B31,615.3915956195431
cat__apartment_code_C34,572.3242795038005
cat__apartment_code_C41,553.8836359505057
cat__apartment_code_A11,517.3060575616291
cat__apartment_code_B41,479.7401256092518
cat__apartment_code_A44,472.7790575816408
cat__apartment_code_A12,425.0154129331222
cat__apartment_code_B42,402.56872305408416
cat__apartment_code_B44,322.11177085106186
cat__apartment_code_B24,287.13186660769617
cat__apartment_code_A24,243.21521580045965
cat__apartment_code_C31,237.67191599175013
