Model,RMSE,MAE,MAPE,R2,CV_r2
LinearRegression,880.8856712045233,539.0411511613845,2.33055967319003,0.9994958642153093,0.987983042414918
Ridge,4011.965139225578,1816.5640655438162,4.0410822553227055,0.9895426237054292,0.9692419704040791
DecisionTree,37985.152321729605,14566.199999999997,13.002775809371556,0.06257576082175575,0.7496806782584292
XGBoost,37995.80881311193,14940.27900390625,15.995628932263628,0.062049710300308925,0.6739028838534538
GradientBoosting,38163.54770049354,14602.350998472828,12.882298960498181,0.053749951751207004,0.7612555305993814
CatBoost,38242.7611133207,14591.016967701642,12.28033393423405,0.04981774469058353,0.7745171523078163
ExtraTrees,38331.37767483387,14575.179000000004,11.85065445351837,0.04540909643377655,0.7642886902819942
RandomForest,38548.617052028654,14877.780476190495,13.86384475591981,0.03455833217181148,0.7312630710239559
AdaBoost,38656.30168037677,15162.289999999997,15.619214756270217,0.029156922495802373,0.6583032029387607
KNN,39132.60673879904,15316.229999999998,15.545685892012372,0.005084970677256884,0.6102138757003528
SVR,43014.88053484671,19659.29042844741,39.1610583323237,-0.20211461316534707,-0.5339461773090589
LightGBM,43208.5447103093,19996.02219636878,40.213081142932936,-0.21296344548771495,-0.7827778304990286
