Model,RMSE,MAE,MAPE,R2,CV_r2
LinearRegression,1119.6199531066677,539.1667785245893,15.549901030945309,0.9578544037022361,0.9639852424982566
Ridge,1119.7588405754343,539.3559710174947,15.555850013071435,0.9578439468356312,0.9639969030119412
LightGBM,1289.4870595853429,412.53363379727267,18.314243513135178,0.9440957378108068,0.9619871002693717
RandomForest,2250.494730592336,621.0172587051754,57.62120771552311,0.829718704939169,0.9377489643336784
DecisionTree,2267.621897733855,432.0436567164179,13.934370024327231,0.8271170247075791,0.9257195085114913
AdaBoost,2682.4311615483352,1378.1470228359392,59.51867173265302,0.7580820381470608,0.9006226638659589
ExtraTrees,2918.2132668231357,677.0794136318408,67.80681516306349,0.7136844082983703,0.9104926321378702
KNN,3145.401556188278,1740.8534328358205,70.87152370872306,0.6673686806829142,0.8516482218903644
CatBoost,3390.6622218744656,1056.4953730210234,75.53513430695602,0.6134728552430583,0.895890815163505
XGBoost,3732.584031217389,972.0884409320888,90.70440037365952,0.5315857148953118,0.8780153608825554
GradientBoosting,4081.6676434722517,1361.6969591169027,97.5579394097332,0.4398733695932041,0.8342553032841604
SVR,5388.544732438671,3560.9181911759524,119.59277678542225,0.023766000992017533,0.01141119708048044
