occupancy_pct,revenue,reg_line
63.02,1711684.0,1657680.5671153106
64.06,1892954.76,1707786.0268227695
61.46,1556430.01,1582522.3775541224
62.5,1649978.0,1632627.8372615813
70.83,1976215.0,2033953.2981876694
71.88,2054833.33,2084540.5411615456
71.35,2021716.0,2059006.0280413982
67.71,1878425.0,1883636.9190652925
66.67,1833153.67,1833531.4593578344
62.5,1558787.33,1632627.8372615813
70.31,1865422.0,2008900.56833394
73.44,2099373.0,2159698.730722734
80.21,2428991.0,2485866.0020876336
81.77,2613217.0,2561024.191648822
79.69,2531540.0,2460813.2722339043
82.29,2664562.0,2586076.921502552
84.38,2674811.0,2686769.6241838867
83.33,2587072.0,2636182.38121001
82.81,2562051.0,2611129.6513562812
81.77,2549298.29,2561024.191648822
77.6,2477231.0,2360120.5695525687
83.33,2552490.0,2636182.38121001
86.46,2698118.0,2786980.543598804
86.46,2737400.0,2786980.543598804
85.42,2868547.0,2736875.0838913457
87.5,2944133.0,2837086.0033062636
90.62,3128749.0,2987402.38242864
89.06,2989809.0,2912244.192867452
96.88,3096701.0,3288998.7072062283
96.88,3252642.0,3288998.7072062283
93.75,3106809.0,3138200.544817434
88.02,2930340.0,2862138.7331599924
84.38,2712672.0,2686769.6241838867
85.94,2581659.0,2761927.813745075
85.94,2743173.0,2761927.813745075
86.98,2865242.0,2812033.2734525343
89.58,2951783.0,2937296.9227211806
95.83,3236484.0,3238411.464232351
96.35,3349991.0,3263464.194086081
95.83,3253362.0,3238411.464232351
